ini,end,wsize,mid_win,id
3693751,3703751,10000,3698751,494
3701251,3711251,10000,3706251,495
3708751,3718751,10000,3713751,496
3716251,3726251,10000,3721251,497
3723751,3733751,10000,3728751,498
3731251,3741251,10000,3736251,499
3738751,3748751,10000,3743751,500
3746251,3756251,10000,3751251,501
3753751,3763751,10000,3758751,502
3761251,3771251,10000,3766251,503
3768751,3778751,10000,3773751,504
3776251,3786251,10000,3781251,505
3783751,3793751,10000,3788751,506
3791251,3801251,10000,3796251,507
3798751,3808751,10000,3803751,508
3806251,3816251,10000,3811251,509
3813751,3823751,10000,3818751,510
3821251,3831251,10000,3826251,511
3828751,3838751,10000,3833751,512
3836251,3846251,10000,3841251,513
3843751,3853751,10000,3848751,514
3851251,3861251,10000,3856251,515
3858751,3868751,10000,3863751,516
3866251,3876251,10000,3871251,517
3873751,3883751,10000,3878751,518
3881251,3891251,10000,3886251,519
3888751,3898751,10000,3893751,520
3896251,3906251,10000,3901251,521
3903751,3913751,10000,3908751,522
3911251,3921251,10000,3916251,523
3918751,3928751,10000,3923751,524
3926251,3936251,10000,3931251,525
3933751,3943751,10000,3938751,526
3941251,3951251,10000,3946251,527
3948751,3958751,10000,3953751,528
3956251,3966251,10000,3961251,529
3963751,3973751,10000,3968751,530
3971251,3981251,10000,3976251,531
3978751,3988751,10000,3983751,532
3986251,3996251,10000,3991251,533
3993751,4003751,10000,3998751,534
4001251,4011251,10000,4006251,535
4008751,4018751,10000,4013751,536
4016251,4026251,10000,4021251,537
4023751,4033751,10000,4028751,538
4031251,4041251,10000,4036251,539
4038751,4048751,10000,4043751,540
4046251,4056251,10000,4051251,541
4053751,4063751,10000,4058751,542
4061251,4071251,10000,4066251,543
4068751,4078751,10000,4073751,544
4076251,4086251,10000,4081251,545
4083751,4093751,10000,4088751,546
4091251,4101251,10000,4096251,547
4098751,4108751,10000,4103751,548
4106251,4116251,10000,4111251,549
4113751,4123751,10000,4118751,550
4121251,4131251,10000,4126251,551
4128751,4138751,10000,4133751,552
4136251,4146251,10000,4141251,553
4143751,4153751,10000,4148751,554
4151251,4161251,10000,4156251,555
4158751,4168751,10000,4163751,556
4166251,4176251,10000,4171251,557
4173751,4183751,10000,4178751,558
4181251,4191251,10000,4186251,559
4188751,4198751,10000,4193751,560
4196251,4206251,10000,4201251,561
4203751,4213751,10000,4208751,562
4211251,4221251,10000,4216251,563
4218751,4228751,10000,4223751,564
4226251,4236251,10000,4231251,565
4233751,4243751,10000,4238751,566
4241251,4251251,10000,4246251,567
4248751,4258751,10000,4253751,568
4256251,4266251,10000,4261251,569
4263751,4273751,10000,4268751,570
4271251,4281251,10000,4276251,571
4278751,4288751,10000,4283751,572
4286251,4296251,10000,4291251,573
4293751,4303751,10000,4298751,574
4301251,4311251,10000,4306251,575
4308751,4318751,10000,4313751,576
4316251,4326251,10000,4321251,577
4323751,4333751,10000,4328751,578
4331251,4341251,10000,4336251,579
4338751,4348751,10000,4343751,580
4346251,4356251,10000,4351251,581
4353751,4363751,10000,4358751,582
4361251,4371251,10000,4366251,583
4368751,4378751,10000,4373751,584
4376251,4386251,10000,4381251,585
4383751,4393751,10000,4388751,586
4391251,4401251,10000,4396251,587
4398751,4408751,10000,4403751,588
4406251,4416251,10000,4411251,589
4413751,4423751,10000,4418751,590
4421251,4431251,10000,4426251,591
4428751,4438751,10000,4433751,592
4436251,4446251,10000,4441251,593
4443751,4453751,10000,4448751,594
4451251,4461251,10000,4456251,595
4458751,4468751,10000,4463751,596
4466251,4476251,10000,4471251,597
4473751,4483751,10000,4478751,598
4481251,4491251,10000,4486251,599
4488751,4498751,10000,4493751,600
4496251,4506251,10000,4501251,601
4503751,4513751,10000,4508751,602
4511251,4521251,10000,4516251,603
4518751,4528751,10000,4523751,604
4526251,4536251,10000,4531251,605
